Source,Package name,Package ID,ISBN,Unformatted ISBN,Book Title,Year,ISSN,Series Title,Volume,Imprint,Available Online,Status,Remarks,Shortcut URL
S&T,eBook - Chemistry 2016,EBCC16,978-0-12-420017-3,9780124200173,Reactive Species Detection in Biology,2015,,,,Elsevier,28-Oct-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780124200173
S&T,eBook - Computer Science 2016,EBCCS16,978-0-12-804041-6,9780128040416,Complex Systems and Clouds,2017,,,,Elsevier,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128040416
S&T,eBook - Energy 2016,EBCEN16,978-0-12-804751-4,9780128047514,Composition and Properties of Drilling and Completion Fluids (Seventh Edition),2017,,,,Gulf Professional Publishing,28-Oct-2016,Active,Added in May 2016,http://www.sciencedirect.com/science/book/9780128047514
S&T,eBook - Energy 2016,EBCEN16,978-0-12-810518-4,9780128105184,Quantitative Methods in Reservoir Engineering (Second Edition),2017,,,,Gulf Professional Publishing,28-Oct-2016,Active,Added in May 2016,http://www.sciencedirect.com/science/book/9780128105184
S&T,eBook - Engineering 2016,EBCE16,978-0-12-803763-8,9780128037638,Plant Hazard Analysis and Safety Instrumentation Systems,2017,,,,Academic Press,28-Oct-2016,Active,Added in May 2016,http://www.sciencedirect.com/science/book/9780128037638
S&T,eBook - Engineering 2016,EBCE16,978-0-12-805354-6,9780128053546,Overview of Industrial Process Automation (Second Edition),2017,,,,Elsevier,28-Oct-2016,Active,Added in May 2016,http://www.sciencedirect.com/science/book/9780128053546
S&T,eBook - Environmental Science 2016,EBCES16,978-0-444-63623-2,9780444636232,Ecological Model Types,2016,0167-8892,Developments in Environmental Modelling,28,Elsevier,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780444636232
S&T,eBook - Materials Science 2016,EBCMS16,978-0-08-100228-5,9780081002285,Chitosan Based Biomaterials Volume 2,2017,,,,Woodhead Publishing,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780081002285
S&T,eBook - Materials Science 2016,EBCMS16,978-0-08-100230-8,9780081002308,Chitosan Based Biomaterials Volume 1,2017,,,,Woodhead Publishing,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780081002308
S&T,eBook - Materials Science 2016,EBCMS16,978-0-08-100382-4,9780081003824,Biofilms and Implantable Medical Devices,2017,,,,Woodhead Publishing,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780081003824
S&T,eBook - Materials Science 2016,EBCMS16,978-0-08-100409-8,9780081004098,Progress in Rubber Nanocomposites,2017,,Woodhead Publishing Series in Composites Science and Engineering,,Woodhead Publishing,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780081004098
S&T,eBook - Materials Science 2016,EBCMS16,978-0-323-35824-8,9780323358248,Brydson's Plastics Materials (Eighth Edition),2017,,,,Butterworth-Heinemann,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780323358248
